SCN, SCN@Site, SCN@Station, Date, Direction, Lane, Speed, Headway, Occupancy, Vehicles, Motorbikes, Cars, Trailers, Rigids, HGVs, Buses
R0613D1L0, 613, 613, 2023-01-05 12:07:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:13:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:17:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:23:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:27:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:33:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:37:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:43:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:47:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:53:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 12:57:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:03:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:07:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:13:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:17:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:23:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:27:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:33:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:37:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:43:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:47:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 13:53:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
