Database,EndDate,NullDataPoints,RepeatedPoints,StartDate,SCN,Site,Station,Date,Direction,Lane,Speed,Headway,Occupancy,Vehicles,Motorbikes,Cars,Trailers,Rigids,HGVs,Buses
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 09:57:43,1,1,27,265,1,11,0,11,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:03:43,1,1,24,279,1,9,0,9,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:07:42,1,1,26,7071,0,5,1,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:13:42,1,1,29,509,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:17:43,1,1,31,506,1,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:23:43,1,1,34,135,1,7,0,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:25:43,1,1,34,135,1,7,0,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:27:43,1,1,30,292,2,12,0,11,0,0,0,1
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:33:43,1,1,30,306,1,10,0,10,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:37:42,1,1,23,339,1,8,1,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:43:42,1,1,27,239,1,7,0,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:47:43,1,1,27,595,0,5,0,5,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:51:42,1,1,27,283,1,8,0,8,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 10:57:42,1,1,24,909,0,4,0,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 11:03:43,1,1,26,296,1,10,0,10,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 11:07:42,1,1,25,233,2,12,0,10,0,0,0,2
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 11:13:42,1,1,27,180,2,15,1,14,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 11:17:43,1,1,26,294,1,11,1,10,0,0,0,0
